name,leto,rating,genres,cas_trajanja,age_rating,director
Last Night in Soho,2021,82%,"Horror,Mystery & Thriller,Drama",1h 57min,18,Edgar Wright
Scream,1996,82%,"Horror,Fantasy,Action & Adventure",1h 51min,18,Wes Craven
Licorice Pizza,2021,84%,"Romance,Comedy,Drama",2h 13min,15,Paul Thomas Anderson
Nightmare Alley,2021,82%,"Mystery & Thriller,Fantasy,Horror,Action & Adventure,Crime,Drama",2h 30min,15,Guillermo del Toro
Boiling Point,2021,83%,"Mystery & Thriller,Drama",1h 32min,15,Philip Barantini
Ghostbusters: Afterlife,2021,86%,"Fantasy,Crime,Action & Adventure,Drama,Horror,Comedy,Science-Fiction",2h 4min,12A,Jason Reitman
Nobody,2021,87%,"Mystery & Thriller,Crime,Drama,Action & Adventure",1h 32min,15,Ilya Naishuller
Dune,2021,90%,"Science-Fiction,Action & Adventure,Drama",2h 35min,12A,Denis Villeneuve
The Last Duel,2021,85%,"Drama,History,Action & Adventure,Mystery & Thriller",2h 33min,18,Ridley Scott
Mass,2021,86%,Drama,1h 51min,12,Fran Kranz
Belfast,2021,80%,"Drama,History",1h 38min,12A,Kenneth Branagh
The Worst Person in the World,2021,86%,"Drama,Comedy,Romance",2h 8min,15,Joachim Trier
Spider-Man: No Way Home,2021,99%,"Science-Fiction,Fantasy,Action & Adventure",2h 28min,12A,Jon Watts
Pig,2021,76%,"Mystery & Thriller,Drama",1h 31min,15,Michael Sarnoski
A Quiet Place,2018,83%,"Horror,Science-Fiction,Drama",1h 31min,15,John Krasinski
Titane,2021,75%,"Horror,Science-Fiction,Mystery & Thriller,Drama",1h 48min,18,Julia Ducournau
Scream 2,1997,71%,"Horror,Mystery & Thriller",2h 0min,18,Wes Craven
CODA,2021,90%,"Drama,Music & Musical,Comedy",1h 52min,12A,Siân Heder
Spider-Man: Into the Spider-Verse,2018,94%,"Science-Fiction,Kids & Family,Fantasy,Animation,Action & Adventure,Comedy",1h 57min,PG,Rodney Rothman
Spencer,2021,79%,"Drama,History,Romance",1h 56min,12A,Pablo Larraín
Munich: The Edge of War,2022,79%,"Drama,History,Mystery & Thriller",2h 9min,12,Christian Schwochow
Petite maman,2021,78%,"Drama,Fantasy",1h 12min,U,Céline Sciamma
West Side Story,2021,85%,"Romance,Crime,Drama",2h 36min,12A,Steven Spielberg
The Tragedy of Macbeth,2021,80%,"Drama,Romance,Action & Adventure,History,Mystery & Thriller,War & Military,Comedy",1h 45min,15,Joel Coen
Sing 2,2021,90%,"Animation,Drama,Fantasy,Music & Musical,Comedy,Kids & Family",1h 50min,U,Garth Jennings
Eternals,2021,80%,"Fantasy,Science-Fiction,Drama,Action & Adventure",2h 36min,12A,Chloé Zhao
The Souvenir,2019,70%,"Drama,Romance",1h 59min,15,Joanna Hogg
Drive My Car,2021,78%,Drama,,,NIMA GLAVNEGA DIREKTORJA
The French Dispatch,2021,81%,"Comedy,Drama,Romance",1h 43min,15,Wes Anderson
The Lord of the Rings: The Fellowship of the Ring,2001,95%,"Fantasy,Action & Adventure,Drama",2h 58min,PG,Peter Jackson
House of Gucci,2021,78%,"Mystery & Thriller,Crime,Drama",2h 38min,15,Ridley Scott
The Father,2020,90%,Drama,1h 37min,12A,Florian Zeller
Spider-Man: Far From Home,2019,84%,"Action & Adventure,Science-Fiction,Comedy",2h 9min,12,Jon Watts
The King's Man,2021,80%,"Mystery & Thriller,Comedy,Crime,Action & Adventure",2h 11min,15,Matthew Vaughn
The Matrix Resurrections,2021,74%,"Science-Fiction,Action & Adventure",2h 28min,15,Lana Wachowski
Venom: Let There Be Carnage,2021,77%,"Science-Fiction,Mystery & Thriller,Horror,Comedy,Action & Adventure",1h 37min,15,Andy Serkis
Sing,2016,80%,"Comedy,Animation,Music & Musical,Kids & Family,Drama",1h 48min,U,Garth Jennings
No Time to Die,2020,85%,"Mystery & Thriller,Action & Adventure",2h 43min,12A,Cary Joji Fukunaga
King Richard,2021,88%,"Drama,Sport",2h 25min,12,Reinaldo Marcus Green
The Power of the Dog,2021,77%,"Drama,Romance,Western",2h 6min,12A,Jane Campion
